cleaned_name,occurrences,correct_name
itajobi,126,Itajobi
novaera,126,Nova Era
varzeadapalma,126,Varzea Da Palma
gravata,126,Gravata
santabárbarad'oeste,125,Santa Barbara D'Oeste
castilho,125,Castilho
aluminio,124,Aluminio
anchieta,124,Anchieta
mantena,124,Mantena
guaramirim,124,Guaramirim
manhumirim,123,Manhumirim
guarantadonorte,123,Guaranta Do Norte
mateusleme,122,Mateus Leme
teófilootoni,122,Teofilo Otoni
santahelenadegoias,122,Santa Helena De Goias
brodowski,121,Brodowski
catu,121,Catu
santamariadejetiba,120,Santa Maria De Jetiba
itamarandiba,120,Itamarandiba
goianesia,120,Goianesia
prudentopolis,120,Prudentopolis
goioere,120,Goioere
itanhaém,119,Itanhaem
macatuba,119,Macatuba
tatuí,119,Tatui
aimores,119,Aimores
santaines,119,Santa Ines
cajazeiras,119,Cajazeiras
caico,119,Caico
novaxavantina,119,Nova Xavantina
palmeira,119,Palmeira
loanda,119,Loanda
saolourencodosul,119,Sao Lourenco Do Sul
nao-me-toque,119,Nao-Me-Toque
saojoaobatista,118,Sao Joao Batista
paraisodotocantins,118,Paraiso Do Tocantins
ituporanga,118,Ituporanga
